"Provincia, cantón y distrito",Población de 15 años y más,Tasa neta de participación,Tasa de ocupación,Tasa de desempleo abierto,Porcentaje de población económicamente inactiva,Relación de dependencia económica,"Porcentaje de población ocupada  (Sector 
Primario)",Porcentaje de población ocupada  (Sector Secundario),Porcentaje de población ocupada  (Sector Terciario)
Carmen           ,2431,"56,3142739613328","54,7922665569724","2,7027027027027","43,6857260386672","0,973703433162893","1,57657657657658","8,70870870870871","89,7147147147147"
Merced         ,9655,"59,243915069912","56,9963749352667","3,79370629370629","40,756084930088","1,14283216783217","0,835907686716337","18,2627657641287","80,901326549155"
Hospital          ,15096,"56,4255431902491","53,9281928987811","4,42592157783517","43,5744568097509","1,26226813806058","0,466773123694878","18,6217909347746","80,9114359415305"
Catedral          ,10742,"59,0113572891454","57,0284863153975","3,36015144344534","40,9886427108546","1,04070042593469","0,457068233757754","14,5935357492654","84,9493960169768"
Zapote          ,15545,"55,6770665808942","54,0495336120939","2,92316580011554","44,3229334191058","1,15817446562681","0,606998333730064","13,7467269697691","85,6462746965008"
San Francisco de Dos Ríos,16895,"57,4252737496301","56,0816809707014","2,3397237682952","42,5747262503699","1,08297258297258","0,517150395778364","13,0131926121372","86,4696569920844"
Uruca            ,22717,"59,0306818682044","56,6492054408593","4,03430275913497","40,9693181317956","1,36599552572707","0,994638278032481","29,0620871862616","69,943274535706"
Mata Redonda      ,7077,"54,0200649992935","52,1689981630634","3,42662830238033","45,9799350007065","1,17447031127387","1,13759479956663","11,7280606717226","87,1343445287107"
Pavas            ,54510,"56,3199412951752","53,9350577875619","4,23452768729642","43,6800587048248","1,32521172638436","0,73469387755102","23,7619047619048","75,5034013605442"
Hatillo           ,39555,"54,7263304259891","52,2184300341297","4,58262114842703","45,2736695740109","1,33339492770361","0,450254175744372","16,3834422657952","83,1663035584604"
San Sebastián     ,31633,"57,5222078209465","55,1481048272374","4,12728072103759","42,4777921790535","1,20185755111013","0,527371739753511","16,0504442533677","83,4221840068788"
Escazú            ,9580,"58,705636743215","56,6910229645094","3,43172119487909","41,294363256785","1,13086770981508","1,62032774811269","15,7061314675014","82,6735407843859"
San Antonio       ,17544,"60,5734154126767","58,74943000456","3,01119789216148","39,4265845873233","1,12232991436906","3,79353837198021","18,5796060929465","77,6268555350733"
San Rafael        ,17673,"61,9306286425621","60,159565438805","2,85975331201462","38,0693713574379","1,00740063956144","1,81527464258841","15,4251316779534","82,7595936794583"
Desamparados      ,26951,"59,2668175577901","56,4097807131461","4,82063482126088","40,7331824422099","1,12020284229638","0,532789581003749","14,9575741629941","84,5096362560021"
San Miguel        ,24071,"57,1309874953263","54,9125503718167","3,88307155322862","42,8690125046737","1,31275450843514","1,62656982902103","20,1845967619912","78,1888334089877"
San Juan de Dios  ,14462,"56,6864887290831","54,6604895588439","3,5740424493779","43,3135112709169","1,37631129543791","0,683111954459203","22,6059456040481","76,7109424414927"
San Rafael Arriba ,11832,"56,1020960108181","53,9722785665991","3,79632419403435","43,8979039891819","1,29918650195842","0,814281240212966","20,2630754776073","78,9226432821798"
San Antonio       ,7928,"58,7537840565086","57,0635721493441","2,87677114641477","41,2462159434914","1,08823529411765","0,817860300618921","14,9425287356322","84,2396109637489"
Frailes           ,2844,"50,7383966244726","48,6286919831224","4,15800415800416","49,2616033755274","1,61399861399861","40,4193781634129","16,9920462762111","42,588575560376"
Patarrá          ,8817,"55,6198253374164","53,5102642622207","3,79282218597064","44,3801746625836","1,43087275693312","2,45866892751166","25,6676557863501","71,8736752861382"
San Cristóbal     ,2839,"51,8492426910884","50,6516379006693","2,30978260869565","48,1507573089116","1,65285326086957","24,2002781641168","37,413073713491","38,3866481223922"
Rosario           ,2281,"54,8882069267865","53,7921964050855","1,99680511182109","45,1117930732135","1,46645367412141","22,8198859005705","15,4034229828851","61,7766911165444"
Damas            ,10201,"58,504068228605","56,945397510048","2,6642091152815","41,495931771395","1,2076072386059","0,516440006885867","19,1599242554657","80,3236357376485"
San Rafael Abajo  ,17822,"59,69027045225","57,6029626304567","3,49689791314157","40,30972954775","1,18866328257191","0,526008182349503","20,3974284044418","79,0765634132086"
Gravilias         ,12360,"57,6941747572816","55,6148867313916","3,60398261113448","42,3058252427184","1,10685738325621","0,450974687227233","12,3217922606925","87,2272330520803"
Los Guido,16884,"51,8360578062071","48,5193082208008","6,39853747714808","48,1639421937929","1,75388482632541","0,89111328125","25,9765625","73,13232421875"
Santiago          ,9122,"54,0999780749836","52,6310019732515","2,71529888551165","45,9000219250165","1,33272543059777","5,97792126640283","13,518017079775","80,5040616538221"
Mercedes Sur      ,4562,"50,2849627356423","48,925909688733","2,7027027027027","49,7150372643577","1,55710549258936","20,0716845878136","16,6666666666667","63,2616487455197"
Barbacoas         ,2838,"49,3657505285412","47,815362931642","3,14061384725196","50,6342494714588","1,63526052819415","14,1488577745026","17,9808400884304","67,8703021370671"
Grifo Alto        ,922,"44,5770065075922","43,1670281995662","3,16301703163017","55,4229934924078","1,87591240875912","33,1658291457286","13,3165829145729","53,5175879396985"
San Rafael        ,1409,"46,0610361958836","44,7835344215756","2,77349768875193","53,9389638041164","1,66563944530046","13,3122028526149","13,7876386687797","72,9001584786054"
Candelarita       ,1112,"43,2553956834532","42,4460431654676","1,87110187110187","56,7446043165468","1,98544698544699","37,2881355932203","9,53389830508475","53,1779661016949"
Desamparaditos    ,542,"49,2619926199262","48,7084870848708","1,12359550561798","50,7380073800738","1,49438202247191","8,33333333333333","17,0454545454545","74,6212121212121"
San Antonio       ,2978,"54,0967092008059","51,846877098724","4,15890751086282","45,9032907991941","1,41402855369336","8,54922279792746","17,4870466321244","73,9637305699482"
Chires            ,2289,"44,0366972477064","41,8086500655308","5,05952380952381","55,9633027522936","2,00694444444444","54,858934169279","6,26959247648903","38,871473354232"
San Marcos        ,7427,"51,33970647637","49,7105156860105","3,1733543141883","48,66029352363","1,62077104642014","27,8710725893824","12,3239436619718","59,8049837486457"
San Lorenzo       ,3116,"51,5083440308087","50,2246469833119","2,49221183800623","48,4916559691913","1,73769470404984","60,9584664536741","6,5814696485623","32,4600638977636"
San Carlos        ,1257,"49,2442322991249","48,6873508353222","1,13085621970921","50,7557677008751","2,05815831987076","71,2418300653595","8,49673202614379","20,2614379084967"
Aserrí            ,21291,"56,5731999436382","54,6334131792776","3,42880863428809","43,4268000563618","1,34047322540473","1,5818431911967","19,7902338376891","78,6279229711142"
Tarbaca     ,1096,"53,4671532846715","51,1861313868613","4,26621160409556","46,5328467153285","1,46757679180887","20,4991087344028","16,5775401069519","62,9233511586453"
Vuelta de Jorco   ,4956,"49,455205811138","47,9822437449556","2,97837617299062","50,544794188862","1,6515707874337","22,4137931034483","13,1623212783852","64,4238856181665"
San Gabriel       ,4521,"49,8562264985623","48,7281574872816","2,26264418811003","50,1437735014377","1,68899733806566","13,5270086246028","16,0689968225148","70,4039945528824"
Legua           ,1063,"45,1552210724365","43,9322671683914","2,70833333333333","54,8447789275635","2,16875","52,4625267665953","8,77944325481799","38,7580299785867"
